gold_label,sentence1,sentence2
entailment,Oh what do you mean,Meeting ID no I don't have that
entailment,Meeting ID no I don't have that,discord
entailment,discord,Oh yeah I think I got it
entailment,Oh yeah I think I got it,Is it your uncle your uncle
entailment,Is it your uncle your uncle,Okay oh there we go Okay I think we'll stop here
entailment,Okay oh there we go Okay I think we'll stop here,alright
entailment,alright,Can you hear me Hello
entailment,Can you hear me Hello,Your MIC your MIC
entailment,Your MIC your MIC,i'm sorry i'm sorry
entailment,i'm sorry i'm sorry,yeah
entailment,yeah,All right um I think we're going to do this
entailment,All right um I think we're going to do this,yeah
entailment,yeah,So how are you how was your day
entailment,So how are you how was your day,Good good good so far can complain and yours
entailment,Good good good so far can complain and yours,yeah pretty good
entailment,yeah pretty good,All right okay
entailment,All right okay,So first of all like you know like I said i'm going to say my name and mention all those different thing obese interest and all that okay
entailment,So first of all like you know like I said i'm going to say my name and mention all those different thing obese interest and all that okay,Yes and like right when I finish you will do you will do the same and when you finish i'm going to talk about the instructions right
entailment,Yes and like right when I finish you will do you will do the same and when you finish i'm going to talk about the instructions right,Okay got it
entailment,Okay got it,My name is Mubarak occur moon my obs is to cook and workout my interest is sport gaming my I major in computer science i'm doing my master I know
entailment,My name is Mubarak occur moon my obs is to cook and workout my interest is sport gaming my I major in computer science i'm doing my master I know,The class i'm taking our aim for like artificial intelligence computer network compiler design graph theory right now i'm not working and we are in 2021 what I like is to eat and have fun what I dislike it is to be indoor
entailment,The class i'm taking our aim for like artificial intelligence computer network compiler design graph theory right now i'm not working and we are in 2021 what I like is to eat and have fun what I dislike it is to be indoor,My favorite food is Mexican food spicy
entailment,My favorite food is Mexican food spicy,pastime is to play video games
entailment,pastime is to play video games,list of activity I like to do are to go for a walk or watch movies or sit in the sun my abbott to eat healthy foods and clean the Max cleaning cleaning the mess and be respectful
entailment,list of activity I like to do are to go for a walk or watch movies or sit in the sun my abbott to eat healthy foods and clean the Max cleaning cleaning the mess and be respectful,And my bucket list is to go to Bali and to explore the cave my routine is to wake up workout meditation and black tea
entailment,And my bucket list is to go to Bali and to explore the cave my routine is to wake up workout meditation and black tea,My exercise are squats push ups jumping Jacks
entailment,My exercise are squats push ups jumping Jacks,My goal is to be a full time full stack developer and open my own gym
entailment,My goal is to be a full time full stack developer and open my own gym,wishes is to help others and my dream is to be an expert at something all right your turn
entailment,wishes is to help others and my dream is to be an expert at something all right your turn,it's interesting yeah
entailment,it's interesting yeah,yeah and you also need to send some emotion you know feel free to have emotion when you like oh wow you know
entailment,yeah and you also need to send some emotion you know feel free to have emotion when you like oh wow you know,yeah
entailment,yeah,yeah Okay you can go
entailment,yeah Okay you can go,Oh yeah my name is guided learning and doing my masters of i'm doing
entailment,Oh yeah my name is guided learning and doing my masters of i'm doing,i'm doing my masters in computer science major
entailment,i'm doing my masters in computer science major,I have completed computer architecture and computer algorithms in the last semester and now i'm going through the courses like core fundamentals in a data science and programming languages my likes or
entailment,I have completed computer architecture and computer algorithms in the last semester and now i'm going through the courses like core fundamentals in a data science and programming languages my likes or,or watching TV going out hanging out with friends and most important is highlight to sleep more yeah
entailment,or watching TV going out hanging out with friends and most important is highlight to sleep more yeah,dislike Sir I don't like if something is very messy but is not clean and my favorite habits are like gardening allowed to garden allowed to plant
entailment,dislike Sir I don't like if something is very messy but is not clean and my favorite habits are like gardening allowed to garden allowed to plant,Growth plans and my favorite pastime is my gardening only and sleeping also and going out hanging out
entailment,Growth plans and my favorite pastime is my gardening only and sleeping also and going out hanging out,Okay again shopping all these are my favorite pastimes after this I wake up cook for myself and my family and we try to go out and spend some family time di D and my bucket list is to travel I love traveling I want to explore many places like Hawaii
entailment,Okay again shopping all these are my favorite pastimes after this I wake up cook for myself and my family and we try to go out and spend some family time di D and my bucket list is to travel I love traveling I want to explore many places like Hawaii,Parties
entailment,Parties,That are all in paint bucket
entailment,That are all in paint bucket,Listen 30 billion next few years so my daily routine is pretty simple I get up I do my prayers I cook for my family doesn't have some family time I can I study and that's it simple rotten and coming to exercise I do a I don't do exercise but I do some yoga and my goals are to
entailment,Listen 30 billion next few years so my daily routine is pretty simple I get up I do my prayers I cook for my family doesn't have some family time I can I study and that's it simple rotten and coming to exercise I do a I don't do exercise but I do some yoga and my goals are to,I want to pursue my I want to continue my studies after my master's also at this point i'm not
entailment,I want to pursue my I want to continue my studies after my master's also at this point i'm not,Very much sure to like what
entailment,Very much sure to like what,area i'm going to choose but i'm sure that i'm going to continue my studies and coming to my dreams I want to make a thesis paper that was my dream so yeah I wish my dreams come true that's it
neutral,area i'm going to choose but i'm sure that i'm going to continue my studies and coming to my dreams I want to make a thesis paper that was my dream so yeah I wish my dreams come true that's it,yeah it's well alright so
entailment,yeah it's well alright so,we're going to play they were going to play the game
entailment,we're going to play they were going to play the game,called
entailment,called,I forgot the name
entailment,I forgot the name,Chris
entailment,Chris,yeah dot dot yeah that sandbox
entailment,yeah dot dot yeah that sandbox,game so and the instructions are very simple so the player take turns adding a line between two doubles the player complete the four side of the box her parents one point and takes another turn
entailment,game so and the instructions are very simple so the player take turns adding a line between two doubles the player complete the four side of the box her parents one point and takes another turn,The game hands when no more line can be place the winner is the player
entailment,The game hands when no more line can be place the winner is the player,The winner is the player with the most points
entailment,The winner is the player with the most points,Oh
entailment,Oh,All right now we're going to start the game and
entailment,All right now we're going to start the game and,What i'm going to do is i'm going to
entailment,What i'm going to do is i'm going to,share my screen
entailment,share my screen,mm hmm
entailment,mm hmm,And we're going to store it
entailment,And we're going to store it,copy
entailment,copy,chip chip chip chip chip
entailment,chip chip chip chip chip,Can you send a link to zoom chat
entailment,Can you send a link to zoom chat,Through zoom oh sorry my bad it is robbing Peter i'm in practical like better all right
